size,ms_w,distance_w
large,91.6667,26.69
large,120.8333,41.33
large,125,33.15
large,145.8333,41.71
large,158.3333,37.66
large,162.5,28.07
large,100,16.04
large,104.1667,9.21
large,154.1667,20.57
large,145.8333,34.35
large,170.8333,26.32
large,204.1667,24.97
large,183.3333,14.18
large,0.2625,30.77
large,120.8333,24.68
large,787.5,24.92
large,150,27.15
large,150,34.95
large,170.8333,39.98
large,262.5,14.5
large,329.1667,39.92
large,41.6667,16.94
large,100,17.1
large,133.3333,20.71
large,137.5,19.6
large,133.3333,29.54
large,141.6667,26.99
large,208.3333,32.91
large,241.6667,31.19
large,287.5,35.23
large,275,13.62
large,254.1667,20.51
large,333.3333,22.16
large,304.1667,31.06
large,416.6667,40.46
large,429.1667,37.45
large,529.1667,42.44
large,550,40.59
large,91.6667,16.29
large,150,40.53
large,158.3333,26.42
large,220.8333,23.35
large,220.8333,34.16
large,262.5,39.55
large,262.5,25.57
large,295.8333,39.45
large,487.5,34.63
large,604.1667,13.31
large,658.3333,22.48
large,475,29.81
small,26,19.95
small,236,14.01
small,166,22.38
small,256,10.37
small,266,24.25
small,248,20.39
small,270,18.14
small,250,19.89
small,296,23.72
small,132,15.55
small,160,32.4
small,264,36.61
small,272,21.23
small,240,28.55
small,172,40.76
small,250,36.62
small,224,41.01
small,148,27.78
small,266,44.8
small,278,51.45
small,278,19.46
small,410,22.05
small,66,17.35
small,68,18.46
small,80,12.2
small,84,23.5
small,158,9.5
small,176,14.76
small,164,23.48
small,244,16.25
small,262,31.42
small,184,20.2
small,208,24.44
small,228,29.08
small,200,16.63
small,206,11.2
small,228,20.15
small,112,19.47
small,130,19.34
small,104,35.07
small,176,25.27
small,230,30.35
small,260,40.7
small,286,50.2
small,190,20.53
small,132,15.64
small,186,14.4
small,188,17.2
small,296,18.54
small,254,30.55
small,238,29.62
small,286,38.4
small,336,44.95
small,412,42.27
large,233.33,31.17
large,241.67,19.89
large,325,20.87
large,329.17,33.29
large,337.5,29.35
large,420.83,38.73
large,416.67,35.81
large,475,28.84
large,483.33,32.1
large,516.67,40.81
large,550,39.33
large,150,38.09
large,166.67,24.72
large,212.5,24.94
large,225,32.65
large,237.5,38.33
large,245.83,23.65
large,258.33,41.42
large,275,37.32
large,262.5,39.3
large,283.33,46.88
large,295.83,38.35
large,491.67,32.7
large,170.83,21.99
large,191.67,25.01
large,204.17,25.11
large,233.33,31.55
large,237.5,34.06
large,241.67,23.81
large,275,27.18
large,337.5,34.03
large,625,31.67
large,112.5,22.54
large,187.5,36.53
large,187.5,29.65
large,187.5,33.86
large,220.83,44.58
large,254.17,37.1
large,258.33,24.03
large,262.5,25.99
large,387.5,20.6
large,120.83,21.57
large,133.33,25.18
large,150,23.23
large,154.17,23.51
large,162.5,17.45
large,233.33,17.37
large,287.5,15.27
large,366.67,27.22
large,370.83,23.23
large,379.17,18.95
large,391.67,28.54
large,404.17,28.28
