size,ms_w,distance_w,ms_sm_w,dist_sm_w,ms_large_sw,dist_large_sw,ms_sm_sw,dist_sm_sw
large,91.6667,26.69,26,19.95,28,5.97,8.3333,17.88
large,120.8333,41.33,236,14.01,46,10.49,25,10.22
large,125,33.15,166,22.38,132,5.97,41.6667,12.36
large,145.8333,41.71,256,10.37,142,10.81,41.6667,7.85
large,158.3333,37.66,266,24.25,112,8.68,54.1667,9.04
large,162.5,28.07,248,20.39,26,19.95,45.8333,21.67
large,100,16.04,270,18.14,236,14.01,91.6667,26.69
large,104.1667,9.21,250,19.89,166,22.38,120.8333,41.33
large,154.1667,20.57,296,23.72,256,10.37,125,33.15
large,145.8333,34.35,132,15.55,266,24.25,145.8333,41.71
large,170.8333,26.32,160,32.4,248,20.39,158.3333,37.66
large,204.1667,24.97,264,36.61,270,18.14,162.5,28.07
large,183.3333,14.18,272,21.23,250,19.89,8.3333,10.46
large,0.2625,30.77,240,28.55,296,23.72,37.5,38.84
large,120.8333,24.68,172,40.76,16,12.12,33.3333,23.2
large,787.5,24.92,250,36.62,36,23.47,45.8333,29.91
large,150,27.15,224,41.01,48,29.12,100,16.04
large,150,34.95,148,27.78,98,4.93,104.1667,9.21
large,170.8333,39.98,266,44.8,130,9.63,154.1667,20.57
large,262.5,14.5,278,51.45,132,15.55,145.8333,34.35
large,329.1667,39.92,278,19.46,160,32.4,170.8333,26.32
large,41.6667,16.94,410,22.05,264,36.61,204.1667,24.97
large,100,17.1,66,17.35,272,21.23,183.3333,14.18
large,133.3333,20.71,68,18.46,240,28.55,0.2625,30.77
large,137.5,19.6,80,12.2,172,40.76,25,33.5
large,133.3333,29.54,84,23.5,250,36.62,58.3333,25.51
large,141.6667,26.99,158,9.5,224,41.01,95.8333,13.56
large,208.3333,32.91,176,14.76,148,27.78,120.8333,24.68
large,241.6667,31.19,164,23.48,266,44.8,,
large,287.5,35.23,244,16.25,278,51.45,150,27.15
large,275,13.62,262,31.42,28,9.21,150,34.95
large,254.1667,20.51,184,20.2,22,6.96,170.8333,39.98
large,333.3333,22.16,208,24.44,60,6.1,29.1667,8.28
large,304.1667,31.06,228,29.08,50,9.41,125,17.5
large,416.6667,40.46,200,16.63,60,8.7,262.5,14.5
large,429.1667,37.45,206,11.2,104,8.25,329.1667,39.92
large,529.1667,42.44,228,20.15,114,4.31,4.1667,14.88
large,550,40.59,112,19.47,120,11.92,16.6667,17.28
large,91.6667,16.29,130,19.34,160,12.45,50,8.39
large,150,40.53,104,35.07,130,2.45,87.5,16.87
large,158.3333,26.42,176,25.27,122,10.29,41.6667,16.94
large,220.8333,23.35,230,30.35,196,20.61,100,17.1
large,220.8333,34.16,260,40.7,258,16.16,133.3333,20.71
large,262.5,39.55,286,50.2,278,19.46,137.5,19.6
large,262.5,25.57,190,20.53,410,22.05,133.3333,29.54
large,295.8333,39.45,132,15.64,22,15.29,141.6667,26.99
large,487.5,34.63,186,14.4,40,10.23,208.3333,32.91
large,604.1667,13.31,188,17.2,182,21.16,95.8333,9.34
large,658.3333,22.48,296,18.54,66,17.35,95.8333,7.51
large,475,29.81,254,30.55,68,18.46,241.6667,31.19
small,26,19.95,238,29.62,80,12.2,287.5,35.23
small,236,14.01,286,38.4,84,23.5,275,13.62
small,166,22.38,336,44.95,158,9.5,254.1667,20.51
small,256,10.37,412,42.27,176,14.76,333.3333,22.16
small,266,24.25,,,20,19.11,304.1667,31.06
small,248,20.39,,,60,11.11,416.6667,40.46
small,270,18.14,,,80,21.26,429.1667,37.45
small,250,19.89,,,158,14.12,529.1667,42.44
small,296,23.72,,,164,23.48,550,40.59
small,132,15.55,,,244,16.25,12.5,20.93
small,160,32.4,,,262,31.42,25,12.22
small,264,36.61,,,18,6.77,25,19.77
small,272,21.23,,,42,8.44,25,8.78
small,240,28.55,,,4,5.18,395.8333,15.45
small,172,40.76,,,184,20.2,91.6667,16.29
small,250,36.62,,,208,24.44,150,40.53
small,224,41.01,,,228,29.08,158.3333,26.42
small,148,27.78,,,10,4.92,220.8333,23.35
small,266,44.8,,,200,16.63,220.8333,34.16
small,278,51.45,,,206,11.2,262.5,39.55
small,278,19.46,,,228,20.15,262.5,25.57
small,410,22.05,,,14,6.76,295.8333,39.45
small,66,17.35,,,24,9.33,487.5,34.63
small,68,18.46,,,118,11.59,45.8333,12.5
small,80,12.2,,,112,19.47,125,14.7
small,84,23.5,,,130,19.34,604.1667,13.31
small,158,9.5,,,104,35.07,658.3333,22.48
small,176,14.76,,,176,25.27,475,29.81
small,164,23.48,,,230,30.35,787.5,24.92
small,244,16.25,,,260,40.7,841.6667,27.27
small,262,31.42,,,286,50.2,,
small,184,20.2,,,190,20.53,,
small,208,24.44,,,44,19.64,,
small,228,29.08,,,66,7.94,,
small,200,16.63,,,70,8.75,,
small,206,11.2,,,132,15.64,,
small,228,20.15,,,186,14.4,,
small,112,19.47,,,188,17.2,,
small,130,19.34,,,296,18.54,,
small,104,35.07,,,254,30.55,,
small,176,25.27,,,238,29.62,,
small,230,30.35,,,286,38.4,,
small,260,40.7,,,336,44.95,,
small,286,50.2,,,412,42.27,,
small,190,20.53,,,,,,
small,132,15.64,,,,,,
small,186,14.4,,,,,,
small,188,17.2,,,,,,
small,296,18.54,,,,,,
small,254,30.55,,,,,,
small,238,29.62,,,,,,
small,286,38.4,,,,,,
small,336,44.95,,,,,,
small,412,42.27,,,,,,
