video,school,stimulus,size,part,responder,bearing_angle_ms,latency_ms,distance_from_first_responder,distance_from_stimulus,angle_between_fish_and_stimulus,ratio_time_bearing_angle,angle_between_fish_and_stimulus_abs,angle_between_fish_stimulus_radiants,starting_angle,final_angle_DEG,turning_radius_degrees,turning_angle_radiants,turning_angle_absolute_value
cy_s_gp_trial1_sch1_stim2,1,2,small,Y,s1,33.33333333,0,22.51938276,13.47608623,-62.99422075,0.136844011,62.99422075,1.099456562,150.7641954,-92.8221553,-243.5863507,-4.251383833,243.5863507
cy_s_gp_trial1_sch1_stim2,1,2,small,Y,s2,37.5,4.2,17.29514383,18.22193458,-30.43630741,0.329491255,30.43630741,0.531213776,-163.9400127,-50.12819104,113.8118217,1.986391016,113.8118217
cy_s_gp_trial1_sch1_stim2,1,2,small,Y,s3,37.5,12.5,23.04607776,14.04316916,99.30037866,0.153124935,99.30037866,1.733118556,-135.8724571,109.025606,244.8980632,4.274277534,244.8980632
cy_s_gp_trial1_sch1_stim2,1,2,small,Y,s4,45.83333333,20.8,11.30950485,23.69354764,-2.368025101,0.490236356,2.368025101,0.041329835,-123.0618495,-29.56953133,93.49231817,1.631748777,93.49231817
cy_s_gp_trial1_sch1_stim2,1,2,small,Y,s5,37.5,20.8,24.15004141,22.02734664,91.80873932,0.137926922,91.80873932,1.602364783,-158.4709931,113.4121142,271.8831073,4.745255403,271.8831073
cy_s_gp_trial1_sch1_stim2,1,2,small,Y,s6,70.83333333,41.7,14.82793647,22.69007272,53.05798687,0.309497196,53.05798687,0.926036565,-171.9216553,56.94417719,228.8658325,3.994462323,228.8658325
cy_s_gp_trial1_sch1_stim2,1,2,small,Y,s7,50,16.7,19.89248351,27.63483309,86.19795957,0.205649776,86.19795957,1.504438203,-150.6422465,92.48955292,243.1317994,4.243450415,243.1317994
cy_s_gp_trial1_sch1_stim2,1,2,small,Y,s8,70.83333333,54.2,16.37013134,31.66608438,4.600095666,0.516924697,4.600095666,0.080286815,-128.0788824,8.949458084,137.0283404,2.391595709,137.0283404
cy_s_gp_trial1_sch1_stim2,1,2,small,Y,s9,62.5,300,11.22196507,28.25802541,65.68952379,0.280625186,65.68952379,1.146498474,-150.9896397,71.72736173,222.7170015,3.887144976,222.7170015
cy_s_gp_trial1_sch1_stim2,1,2,small,Y,s10,58.33333333,41.7,19.2937762,17.58602002,78.12068722,0.250508918,78.12068722,1.363463206,-139.3106258,93.54868197,232.8593078,4.064161615,232.8593078
cy_s_gp_trial1_sch1_stim2,1,2,small,Y,w1,100,112.5,24.75446828,35.73903468,113.5453664,0.3631283,113.5453664,1.981740494,-137.9737311,137.4110297,275.3847608,4.806370786,275.3847608
cy_s_gp_trial1_sch1_stim2,1,2,small,Y,w2,95.83333333,104.2,21.70657504,36.52152927,78.64196025,0.364709735,78.64196025,1.372561137,-164.0546041,98.71143755,262.7660417,4.586132589,262.7660417
cy_s_gp_trial1_sch1_stim2,1,2,small,Y,w3,104.1666667,108.3,19.91695007,36.91509447,66.70844724,0.403361347,66.70844724,1.164282043,-162.3091104,95.9374161,258.2465265,4.507252169,258.2465265
cy_s_gp_trial1_sch1_stim2,1,2,small,Y,w4,137.5,141.7,24.15739224,42.82372357,86.71613771,0.510566551,86.71613771,1.513482118,-157.3481083,111.960564,269.3086724,4.700323037,269.3086724
cy_s_gp_trial1_sch1_stim2,1,2,small,Y,w5,100,150,27.10519692,38.87944958,89.46454101,2.798972357,89.46454101,1.561450804,165.9637565,130.2363583,-35.72739822,-0.623560732,35.72739822
cy_s_gp_trial1_sch1_stim2,1,2,small,Y,w6,116.6666667,187.5,26.94044172,29.49830673,118.8865818,0.418004773,118.8865818,2.074962288,-135.8680514,143.2356193,279.1036708,4.871278009,279.1036708
cy_s_gp_trial1_sch1_stim2,1,2,small,Y,w7,100,179.2,31.3301963,46.71456411,113.8657601,0.361518193,113.8657601,1.987332419,-136.8476103,139.7636417,276.611252,4.827777095,276.611252
cy_s_gp_trial1_sch1_stim2,1,2,small,Y,w8,658.3333333,216.7,20.98153951,42.92056034,23.22040086,3.55964642,23.22040086,0.405272449,-128.7580857,56.18537663,184.9434623,3.227872347,184.9434623
cy_s_gp_trial1_sch1_stim2,1,2,small,Y,w9,104.1666667,195.8,29.03672847,35.25421535,87.58049078,0.352759568,87.58049078,1.528567925,-167.3073345,127.9834983,295.2908327,5.153797282,295.2908327
cy_s_gp_trial1_sch1_stim2,1,2,small,Y,w10,104.1666667,220.8,31.46512037,41.40449372,101.5466905,0.332722423,101.5466905,1.772324095,-170.3519547,142.7218258,313.0737805,5.464168271,313.0737805
cy_s_gp_trial1_sch1_stim5,1,5,small,Y,s1,29.16666667,0,0,40.9960303,98.67317405,0.290421547,98.67317405,1.722171771,-23.71359489,76.71513352,100.4287284,1.752811974,100.4287284
cy_s_gp_trial1_sch1_stim5,1,5,small,Y,s2,33.33333333,8.3,14.36054665,32.55873462,103.2127469,0.377603349,103.2127469,1.801402263,-16.56882918,71.70722404,88.27605322,1.540707779,88.27605322
cy_s_gp_trial1_sch1_stim5,1,5,small,Y,s3,29.16666667,20.8,10.82619508,30.95165585,-125.4596182,0.764453419,125.4596182,2.189683416,-40.34981515,-78.50343698,-38.15362183,-0.665906323,38.15362183
cy_s_gp_trial1_sch1_stim5,1,5,small,Y,s4,29.16666667,33.3,15.99388946,28.25110617,-98.81073299,0.432853517,98.81073299,1.724572627,6.740056098,-60.64224646,-67.38230256,-1.176043037,67.38230256
cy_s_gp_trial1_sch1_stim5,1,5,small,Y,s5,20.83333333,29.2,7.896036981,33.38682525,82.87498365,0.277846298,82.87498365,1.446441332,-39.39072555,35.59077859,74.98150415,1.308674125,74.98150415
cy_s_gp_trial1_sch1_stim5,1,5,small,Y,s6,29.16666667,41.7,22.06437853,29.00618038,176.8939729,0.275751995,176.8939729,3.087382254,-62.63645307,-168.4078246,-105.7713715,-1.846058687,105.7713715
cy_s_gp_trial1_sch1_stim5,1,5,small,Y,s7,29.16666667,83.3,10.61730663,37.27190497,69.99330526,0.102473302,69.99330526,1.221613631,-178.4377751,106.1892063,284.6269813,4.967677964,284.6269813
cy_s_gp_trial1_sch1_stim5,1,5,small,Y,w1,12.5,70.8,18.39480905,36.66830375,76.45206101,0.439880053,76.45206101,1.334340185,174.5767814,146.1599439,-28.41683754,-0.495967378,28.41683754
