Video,school,stimulus,size,part,fish_id,frame_st,framedif,sec,ms
cy_l_sch2_stim1,2,1,large,Y,s2,201,23,0.096,95.83
cy_l_sch2_stim1,2,1,large,Y,s3,202,24,0.1,100
cy_l_sch2_stim1,2,1,large,Y,s4,243,65,0.271,270.83
cy_l_sch2_stim1,2,1,large,Y,s5,244,66,0.275,275
cy_l_sch2_stim1,2,1,large,Y,s6,270,92,0.383,383.33
cy_l_sch2_stim1,2,1,large,Y,s7,248,70,0.292,291.67
cy_l_sch2_stim1,2,1,large,Y,s8,323,145,0.604,604.17
cy_l_sch2_stim1,2,1,large,Y,s9,350,172,0.717,716.67
cy_l_sch2_stim1,2,1,large,Y,w1,234,56,0.233,233.33
cy_l_sch2_stim1,2,1,large,Y,w2,236,58,0.242,241.67
cy_l_sch2_stim1,2,1,large,Y,w3,256,78,0.325,325
cy_l_sch2_stim1,2,1,large,Y,w4,257,79,0.329,329.17
cy_l_sch2_stim1,2,1,large,Y,w5,259,81,0.338,337.5
cy_l_sch2_stim1,2,1,large,Y,w6,279,101,0.421,420.83
cy_l_sch2_stim1,2,1,large,Y,w7,278,100,0.417,416.67
cy_l_sch2_stim1,2,1,large,Y,w8,292,114,0.475,475
cy_l_sch2_stim1,2,1,large,Y,w9,294,116,0.483,483.33
cy_l_sch2_stim1,2,1,large,Y,w10,302,124,0.517,516.67
cy_l_sch2_stim1,2,1,large,Y,w11,310,132,0.55,550
cy_l_sch2_stim2,2,2,large,Y,s2,170,4,0.017,16.67
cy_l_sch2_stim2,2,2,large,Y,s3,172,6,0.025,25
cy_l_sch2_stim2,2,2,large,Y,s4,173,7,0.029,29.17
cy_l_sch2_stim2,2,2,large,Y,s5,174,8,0.033,33.33
cy_l_sch2_stim2,2,2,large,Y,s6,188,22,0.092,91.67
cy_l_sch2_stim2,2,2,large,Y,s7,224,58,0.242,241.67
cy_l_sch2_stim2,2,2,large,Y,s8,248,82,0.342,341.67
cy_l_sch2_stim2,2,2,large,Y,s9,261,95,0.396,395.83
cy_l_sch2_stim2,2,2,large,Y,w1,202,36,0.15,150
cy_l_sch2_stim2,2,2,large,Y,w2,206,40,0.167,166.67
cy_l_sch2_stim2,2,2,large,Y,w3,217,51,0.213,212.5
cy_l_sch2_stim2,2,2,large,Y,w4,220,54,0.225,225
cy_l_sch2_stim2,2,2,large,Y,w5,223,57,0.238,237.5
cy_l_sch2_stim2,2,2,large,Y,w6,225,59,0.246,245.83
cy_l_sch2_stim2,2,2,large,Y,w7,228,62,0.258,258.33
cy_l_sch2_stim2,2,2,large,Y,w8,232,66,0.275,275
cy_l_sch2_stim2,2,2,large,Y,w9,229,63,0.263,262.5
cy_l_sch2_stim2,2,2,large,Y,w10,234,68,0.283,283.33
cy_l_sch2_stim2,2,2,large,Y,w11,237,71,0.296,295.83
cy_l_sch2_stim2,2,2,large,Y,w12,284,118,0.492,491.67
cy_l_sch2_stim4,2,4,large,Y,s2,248,10,0.042,41.67
cy_l_sch2_stim4,2,4,large,Y,s3,249,11,0.046,45.83
cy_l_sch2_stim4,2,4,large,Y,s4,262,24,0.1,100
cy_l_sch2_stim4,2,4,large,Y,s5,266,28,0.117,116.67
cy_l_sch2_stim4,2,4,large,Y,s6,273,35,0.146,145.83
cy_l_sch2_stim4,2,4,large,Y,s7,294,56,0.233,233.33
cy_l_sch2_stim4,2,4,large,Y,s8,332,94,0.392,391.67
cy_l_sch2_stim4,2,4,large,Y,s9,337,99,0.413,412.5
cy_l_sch2_stim4,2,4,large,Y,s10,339,101,0.421,420.83
cy_l_sch2_stim4,2,4,large,Y,s11,378,140,0.583,583.33
cy_l_sch2_stim4,2,4,large,Y,s12,413,175,0.729,729.17
cy_l_sch2_stim4,2,4,large,Y,w1,279,41,0.171,170.83
cy_l_sch2_stim4,2,4,large,Y,w2,284,46,0.192,191.67
cy_l_sch2_stim4,2,4,large,Y,w3,287,49,0.204,204.17
