video,spont_id,size,ref1x,ref1y,ref2x,ref2y,start_frame,end_frame,st_head_x,st_head_y,st_cm_x,st_cm_y,end_head_x,end_head_y,end_cm_x,end_cm_y,starting_angle,final_angle_DEG,turning_radius_degrees,turning_angle_absolute_value,turning_duration,turning_rate,
school4_large_control1,1,large,0.11,0.27,10.88,-0.19,509,592,48.68,-25.6,47.07,-27.57,46.4,-24.21,46.52,-26.48,-129.2577167,-86.97396492,42.28375181,42.28375181,346.11,0.122168535,
school4_large_control1,2,large,0.11,0.27,10.88,-0.19,1358,1434,16.13,-25.58,17.65,-27.08,14.85,-28.12,17.29,-27.43,-44.6205633,15.79020728,60.41077058,60.41077058,316.92,0.19061836,
school4_large_control1,3,large,0.11,0.27,10.88,-0.19,894,986,25.17,-49.2,27.44,-50.09,23.86,-52.66,26.25,-50.87,-21.40867991,36.83152138,58.24020128,58.24020128,383.64,0.151809512,
school4_large_control2,4,large,-0.11,-0.5,10.3,0.11,454,531,39.79,-43.63,40.57,-45.61,45.27,-43.43,43.07,-44.7,-68.49856568,-150.0033322,-81.50476655,81.50476655,321.09,0.253837761,
school4_large_control2,5,large,-0.11,-0.5,10.3,0.11,515,592,25.78,-42.46,23.65,-41.18,26.9,-38.26,25.71,-39.79,148.9967019,-127.8749837,-276.8716855,276.8716855,321.09,0.862286853,#deleting outlier  from data
school4_large_control2,6,large,-0.11,-0.5,10.3,0.11,1241,1337,50.19,-29,50.15,-31.38,54.31,-26.64,52.84,-28.28,-90.96286363,-131.8711902,-40.90832653,40.90832653,400.32,0.102189065,
school4_large_control2,7,large,-0.11,-0.5,10.3,0.11,808,879,30.77,-48.49,33.43,-48.18,32.62,-45.31,33.12,-47.4,6.647341436,-76.54574782,-83.19308926,83.19308926,296.07,0.280991283,
cy_s_gp_trial1_sch1_stim1_2023-,8,small,0.32,0.02,10.97,-0.04,2298,2384,-24.25,-57.07,-23.2,-56.89,-24.51,-54.93,-24.21,-55.8,9.727578551,-70.97439396,-80.70197251,80.70197251,358.62,0.225034779,
cy_s_gp_trial1_sch1_stim1_2023-,9,small,0.32,0.02,10.97,-0.04,2953,3020,-21.34,-48.99,-22.15,-49.78,-21.02,-51.06,-21.49,-50.4,-135.7161599,125.4554744,261.1716344,261.1716344,279.39,0.934792349,
cy_s_gp_trial1_sch1_stim1_2023-,10,small,0.32,0.02,10.97,-0.04,7067,7152,4.7,-110.25,5.75,-109.83,4.42,-108.57,4.93,-109.62,21.80140949,-64.093492,-85.89490149,85.89490149,354.45,0.242332914,
cy_s_gp_trial1_sch1_stim1_2023-,11,small,0.32,0.02,10.97,-0.04,31278,31347,0.51,-63.32,1.72,-63.49,2.34,-61.63,1.69,-62.52,-7.997473472,-126.1420412,-118.1445678,118.1445678,287.73,0.41060914,
cy_s_gp_trial1_sch1_stim1_2023-,12,small,0.32,0.02,10.97,-0.04,31337,31411,-1.81,-62.52,-0.86,-62.35,-0.42,-60.21,-1.03,-61.4,10.14554443,-117.1399059,-127.2854504,127.2854504,308.58,0.412487687,
cy_s_gp_trial1_sch1_stim1_2023-,13,small,0.32,0.02,10.97,-0.04,31371,31455,14.49,-58.18,15.72,-58.57,16.48,-56.63,15.93,-57.73,-17.59242456,-116.5650512,-98.97262661,98.97262661,350.28,0.282552891,
cy_s_gp_trial1_sch1_stim1_2023-,14,small,0.32,0.02,10.97,-0.04,35604,35642,14.92,-53,13.92,-53.48,13.15,-51.78,13.77,-52.75,-154.3589942,-57.41429265,96.94470153,96.94470153,158.46,0.611792891,
p1_cy_l_trial2_sch2_stim4_2023-08-10-11-37_spontaneous,1,large,0.15,0.05,10.85,-0.05,200,288,27.43,49.77,25.87,47.91,24.26,51.72,24.94,48.79,-129.9868862,-76.93399553,53.05289071,53.05289071,366.96,0.144574043,
