video,spont_id,size,ref1x,ref1y,ref2x,ref2y,start_frame,end_frame,st_head_x,st_head_y,st_cm_x,st_cm_y,end_head_x,end_head_y,end_cm_x,end_cm_y,starting_angle,final_angle_DEG,turning_radius_degrees,turning_angle_absolute_value,turning_duration,turning_rate
school4_large_control1,1,large,0.11,0.27,10.88,-0.19,509,592,48.68,-25.6,47.07,-27.57,46.4,-24.21,46.52,-26.48,-129.2577167,-86.97396492,42.28375181,42.28375181,345.8333333,0.12226627
school4_large_control1,2,large,0.11,0.27,10.88,-0.19,1358,1434,16.13,-25.58,17.65,-27.08,14.85,-28.12,17.29,-27.43,-44.6205633,15.79020728,60.41077058,60.41077058,316.6666667,0.190770854
school4_large_control1,3,large,0.11,0.27,10.88,-0.19,894,986,25.17,-49.2,27.44,-50.09,23.86,-52.66,26.25,-50.87,-21.40867991,36.83152138,58.24020128,58.24020128,383.3333333,0.15193096
school4_large_control2,4,large,-0.11,-0.5,10.3,0.11,454,531,39.79,-43.63,40.57,-45.61,45.27,-43.43,43.07,-44.7,-68.49856568,-150.0033322,-81.50476655,81.50476655,320.8333333,0.254040831
school4_large_control2,6,large,-0.11,-0.5,10.3,0.11,1241,1337,50.19,-29,50.15,-31.38,54.31,-26.64,52.84,-28.28,-90.96286363,-131.8711902,-40.90832653,40.90832653,400,0.102270816
school4_large_control2,7,large,-0.11,-0.5,10.3,0.11,808,879,30.77,-48.49,33.43,-48.18,32.62,-45.31,33.12,-47.4,6.647341436,-76.54574782,-83.19308926,83.19308926,295.8333333,0.281216076
cy_s_gp_trial1_sch1_stim1_2023-,8,small,0.32,0.02,10.97,-0.04,2298,2384,-24.25,-57.07,-23.2,-56.89,-24.51,-54.93,-24.21,-55.8,9.727578551,-70.97439396,-80.70197251,80.70197251,358.3333333,0.225214807
cy_s_gp_trial1_sch1_stim1_2023-,10,small,0.32,0.02,10.97,-0.04,7067,7152,4.7,-110.25,5.75,-109.83,4.42,-108.57,4.93,-109.62,21.80140949,-64.093492,-85.89490149,85.89490149,354.1666667,0.242526781
cy_s_gp_trial1_sch1_stim1_2023-,11,small,0.32,0.02,10.97,-0.04,31278,31347,0.51,-63.32,1.72,-63.49,2.34,-61.63,1.69,-62.52,-7.997473472,-126.1420412,-118.1445678,118.1445678,287.5,0.410937627
cy_s_gp_trial1_sch1_stim1_2023-,12,small,0.32,0.02,10.97,-0.04,31337,31411,-1.81,-62.52,-0.86,-62.35,-0.42,-60.21,-1.03,-61.4,10.14554443,-117.1399059,-127.2854504,127.2854504,308.3333333,0.412817677
cy_s_gp_trial1_sch1_stim1_2023-,13,small,0.32,0.02,10.97,-0.04,31371,31455,14.49,-58.18,15.72,-58.57,16.48,-56.63,15.93,-57.73,-17.59242456,-116.5650512,-98.97262661,98.97262661,350,0.282778933
p1_cy_l_trial2_sch2_stim4_2023-08-10-11-37_spontaneous,1,large,0.15,0.05,10.85,-0.05,200,288,27.43,49.77,25.87,47.91,24.26,51.72,24.94,48.79,-129.9868862,-76.93399553,53.05289071,53.05289071,366.6666667,0.144689702
p1_cy_l_trial2_sch2_stim4_2023-08-10-11-37_spontaneous,2,large,0.15,0.05,10.85,-0.05,810,908,14.05,56.43,16.54,55.14,13,53.15,15.26,54.51,-27.38742216,31.03826336,58.42568551,58.42568551,408.3333333,0.143083311
p1_cy_l_trial2_sch2_stim4_2023-08-10-11-37_spontaneous,3,large,0.15,0.05,10.85,-0.05,1383,1469,19.41,47.77,21.56,49.55,17.27,49.79,20.58,49.52,39.62159445,-4.663349106,-44.28494356,44.28494356,358.3333333,0.123585889
p1_cy_l_trial2_sch2_stim4_2023-08-10-11-37_spontaneous,4,large,0.15,0.05,10.85,-0.05,1582,1682,28.75,40.34,30.41,42.77,25.24,42.8,28.75,42.62,55.66193998,-2.935673446,-58.59761342,58.59761342,416.6666667,0.140634272
p1_cy_l_trial2_sch2_stim4_2023-08-10-11-37_spontaneous,5,large,0.15,0.05,10.85,-0.05,1654,1743,0.63,53.72,1.09,50.99,2.97,54.04,1.2,52.04,-80.43560703,-131.5088286,-51.07322154,51.07322154,370.8333333,0.137725541
p1_cy_l_trial2_sch2_stim4_2023-08-10-11-37_spontaneous,6,large,0.15,0.05,10.85,-0.05,2817,2891,24.11,72.25,22.52,70.06,21.02,73.15,22.35,70.44,-125.9806776,-63.85935424,62.12132333,62.12132333,308.3333333,0.201474562
p2_cy_l_trial2_sch2_stim4_2023-08-10-11-37_spontaneous,7,large,0,0,10.7,0,335,446,-11.12,60.87,-9.63,58.63,-7.82,62.32,-9.29,59.79,-56.36900027,-120.1577729,-63.78877268,63.78877268,462.5,0.137921671
pt1.cy_s_gp_trial4_sch4_stim4_2023-08-14-14-09,1,small,0.01,0.08,10.74,0.09,289,365,39.94,18.08,40.81,16.79,38.91,17.1,40.36,16.82,-56.00354085,-10.929488,45.07405285,45.07405285,316.6666667,0.142339114
pt1.cy_s_gp_trial4_sch4_stim4_2023-08-14-14-09,2,small,0.01,0.08,10.74,0.09,416,494,53.94,21.41,52.58,21.82,53.58,19.54,52.72,21.43,163.2234857,114.4667909,-48.75669483,48.75669483,325,0.150020599
pt1.cy_s_gp_trial4_sch4_stim4_2023-08-14-14-09,3,small,0.01,0.08,10.74,0.09,849,938,52.27,0.95,53.48,1.84,51.12,1.69,52.8,1.88,36.33586457,6.452462888,-29.88340168,29.88340168,370.8333333,0.080584454
pt1.cy_s_gp_trial4_sch4_stim4_2023-08-14-14-09,4,small,0.01,0.08,10.74,0.09,1755,1861,41.85,38.41,40.09,38.83,40.68,36.54,39.93,38.27,166.5781649,113.4379865,-53.1401784,53.1401784,441.6666667,0.120317385
pt2.cy_s_gp_trial4_sch4_stim4_2023-08-14-14-09,5,small,0,0,10.87,-0.11,30,103,38,28.44,38.37,28.82,38.58,26.31,38.77,27.64,45.76389846,81.86989765,36.10599918,36.10599918,304.1666667,0.118704655
pt2.cy_s_gp_trial4_sch4_stim4_2023-08-14-14-09,6,small,0,0,10.87,-0.11,211,303,26.62,26.88,26.02,28.16,23.33,26.97,24.66,27.49,115.1148349,21.35437736,-93.76045752,93.76045752,383.3333333,0.244592498
pt2.cy_s_gp_trial4_sch4_stim4_2023-08-14-14-09,7,small,0,0,10.87,-0.11,773,848,19.6,31.33,19.57,32.72,17.6,31.34,18.98,32.45,91.2364076,38.81138404,-52.42502357,52.42502357,312.5,0.167760075
cy_l_sch3_stim2,1,large,-0.19,0.15,10.65,-0.19,357,385,30.47,-40.94,32.95,-40.01,29.9,-42.19,31.49,-40.84,20.55604522,40.33314163,19.77709641,19.77709641,116.6666667,0.169517969
cy_l_sch3_stim5,2,large,-0.38,-0.03,10.82,-0.19,81,131,33.16,-48.46,35.34,-49.04,33.92,-46.06,34.87,-48.11,-14.89869543,-65.13630343,-50.23760799,50.23760799,208.3333333,0.241140518
cy_l_sch3_ctrl1,3,large,-0.09,-0.11,10.81,-0.1,36,78,108.39,-67.26,110.62,-67.54,109.11,-65.49,109.96,-67,-7.156636533,-60.62423458,-53.46759805,53.46759805,175,0.305529132
